# 中華語文大辭典
# https://github.com/g0v/moedict-data-csld/blob/master/中華語文大辭典全稿-20160620.csv
# 对应中華語文知識庫（台灣版）数据；
#
# 正體字形	簡化字形	字詞流水序	音序	臺／陸特有詞	臺／陸特有音	臺灣漢拼	大陸漢拼

帳面	账面	1011770007				zhànɡmiàn	
帳務	账务	1011770009				zhànɡwù	
帳款	账款	1011770010				zhànɡkuǎn	
帳單	账单	1011770012				zhànɡdān	
帳飲	帐饮	1011770013				zhànɡyǐn	
帳號	账号	1011770014				zhànɡhào	
帳幕	帐幕	1011770016				zhànɡmù	
帳篷	帐篷	1011770017				zhànɡpénɡ	zhànɡpenɡ
帳簿	账簿	1011770018				zhànɡbù	
帷		1011780000				wéi	
帷子		1011780001				wéizi	
帷幄		1011780004				wéiwò	
帷幕	帷幕	1011780005				wéimù	
帷幔	帷幔	1011780006				wéimàn	
帷薄不修	帷薄不修	1011780007				wéibó-bùxiū	
幅		1011790000				fú	
幅度		1011790001				fúdù	
幅面		1011790002				fúmiàn	
幅員	幅员	1011790003				fúyuán	
帽		1011800000				mào	
帽子		1011800001				màozi	
帽子戲法	帽子戏法	1011800003				màozi xìfǎ	
帽舌	帽舌	1011800004				màoshé	
帽耳	帽耳	1011800005				mào’ěr	
帽花	帽花	1011800006				màohuā	
帽檐	帽檐	1011800011				màoyán	
帽徽		1011800012				màohuī	
帽簷	帽檐	1011800013				màoyán	
幀	帧	1011810000				zhènɡ	zhēn
幌		1011820000				huǎnɡ	
幌子		1011820001				huǎnɡzi	
幛		1011830000				zhànɡ	
幛子		1011830001				zhànɡzi	
幣	币	1011840000				bì	
幣市	币市	1011840001		★		bìshì	
幣制	币制	1011840002				bìzhì	
幣重言甘	币重言甘	1011840004				bìzhònɡ-yánɡān	
幣值	币值	1011840006				bìzhí	
幕	幕	1011850000				mù	
幕天席地	幕天席地	1011850001				mùtiān-xídì	
幕府	幕府	1011850004				mùfǔ	
幕前	幕前	1011850005				mùqián	
幕後	幕后	1011850006				mùhòu	
幕賓	幕宾	1011850007				mùbīn	
幕僚	幕僚	1011850008				mùliáo	
幗	帼	1011860000				ɡuó	
幔	幔	1011870000				màn	
幔子	幔子	1011870001				mànzi	
幔帳	幔帐	1011870002				mànzhànɡ	
幢		1011880000	1			chuánɡ	
幢		1011880000	2			chuánɡ	zhuànɡ
幟	帜	1011890000				zhì	
幫	帮	1011900000				bānɡ	
幫工	帮工	1011900001				bānɡɡōnɡ	
幫子	帮子	1011900002				bānɡzi	
幫凶	帮凶	1011900003				bānɡxiōnɡ	
幫手	帮手	1011900004				bānɡshǒu	bānɡshou
幫主	帮主	1011900005				bānɡzhǔ	
幫忙	帮忙	1011900006				bānɡmánɡ	
幫兇	帮凶	1011900008				bānɡxiōnɡ	
幫扶	帮扶	1011900009				bānɡfú	
幫助	帮助	1011900010				bānɡzhù	
幫困	帮困	1011900011		★		bānɡkùn	
幫派	帮派	1011900012				bānɡpài	
幫浦	帮浦	1011900013		▲		bānɡpǔ	
幫倒忙	帮倒忙	1011900016				bānɡdàománɡ	
幫湊	帮凑	1011900020				bānɡcòu	
幫閒	帮闲	1011900024				bānɡxián	
幫腔	帮腔	1011900025				bānɡqiānɡ	
幫會	帮会	1011900028				bānɡhuì	
幫傭	帮佣	1011900029				bānɡyōnɡ	
幫辦	帮办	1011900031				bānɡbàn	
幫襯	帮衬	1011900033				bānɡchèn	
干		1011910000				ɡān	
干支		1011910001				ɡānzhī	
干戈		1011910002				ɡānɡē	
干犯		1011910003				ɡānfàn	
干名犯義	干名犯义	1011910005				ɡānmínɡ-fànyì	
干貝	干贝	1011910007				ɡānbèi	
干城		1011910008				ɡānchénɡ	
干係	干系	1011910010				ɡānxì	
干涉		1011910011				ɡānshè	
干卿何事		1011910012				ɡānqīnɡhéshì	
干卿底事	干卿底事	1011910013				ɡānqīnɡdǐshì	
干連	干连	1011910014				ɡānlián	
干戚		1011910015				ɡānqī	
干將	干将	1011910016				ɡānjiānɡ	
干雲蔽日	干云蔽日	1011910017				ɡānyún-bìrì	
干祿字書	干禄字书	1011910018				ɡānlù zìshū	
干預	干预	1011910019				ɡānyù	
干擾	干扰	1011910022				ɡānrǎo	
干礙	干碍	1011910024				ɡān’ài	
干寶	干宝	1011910025				ɡānbǎo	
干欄	干栏	1011910026				ɡānlán	
平		1011920000	1			pínɡ	
平		1011920000	2			biàn	pián
平		1011920000	3			pián	
平山中山王墓	平山中山王墓	1011920001				pínɡshān zhōnɡshānwánɡ mù	
平山冷燕	平山冷燕	1011920002				pínɡshānlěnɡyàn	
平山堂		1011920003				pínɡshāntánɡ	
平凡		1011920005				pínɡfán	
平方		1011920006				pínɡfānɡ	
平方千米	平方千米	1011920007		★		pínɡfānɡ qiānmǐ	
平方公尺		1011920008				pínɡfānɡ ɡōnɡchǐ	
平方公里		1011920009				pínɡfānɡ ɡōnɡlǐ	
平方米	平方米	1011920011				pínɡfānɡmǐ	
平心而論	平心而论	1011920015				pínɡxīn’érlùn	
平心靜氣	平心静气	1011920016				pínɡxīn-jìnɡqì	
平仄		1011920017				pínɡzè	
平反	平反	1011920018				pínɡfǎn	
平日		1011920019				pínɡrì	
平分		1011920020				pínɡfēn	
平分秋色	平分秋色	1011920021				pínɡfēn-qiūsè	
平手		1011920022				pínɡshǒu	
平水韻	平水韵	1011920025				pínɡshuǐyùn	
平平		1011920026	1			pínɡpínɡ	
平平		1011920026	2			piánpián	
平正		1011920027				pínɡzhènɡ	
平生		1011920029				pínɡshēnɡ	
平生壯觀	平生壮观	1011920030				pínɡshēnɡ zhuànɡɡuān	
平白		1011920031				pínɡbái	
平白無故	平白无故	1011920032				pínɡbái-wúɡù	
平民		1011920033				pínɡmín	
平安	平安	1011920035				pínɡ’ān	
平安米	平安米	1011920036				pínɡ’ānmǐ	
平安夜	平安夜	1011920037				pínɡ’ānyè	
平安帖	平安帖	1011920038				pínɡ’āntiě	pínɡ’āntiè
平安鈴	平安铃	1011920039		★		pínɡ’ānlínɡ	
平安鐘	平安钟	1011920041		★		pínɡ’ānzhōnɡ	
平交		1011920042				pínɡjiāo	
平交道	平交道	1011920043		▲		pínɡjiāodào	
平米	平米	1011920044		★		pínɡmǐ	
平地	平地	1011920045				pínɡdì	
平地一聲雷	平地一声雷	1011920046				pínɡdì yì shēnɡ léi	pínɡdì yī shēnɡ léi
平地風波	平地风波	1011920047				pínɡdì-fēnɡbō	
平地樓臺	平地楼台	1011920048				pínɡdì-lóutái	
平光		1011920051				pínɡɡuānɡ	
平年		1011920052				pínɡnián	
平行		1011920053				pínɡxínɡ	
平行處理	平行处理	1011920055				pínɡxínɡ chǔlǐ	
平行線	平行线	1011920057				pínɡxínɡxiàn	
平行輸入	平行输入	1011920058				pínɡxínɡ-shūrù	
平快車	平快车	1011920059		▲		pínɡkuàichē	
平均	平均	1011920060				pínɡjūn	
平均主義	平均主义	1011920061		★		pínɡjūn zhǔyì	
平均值		1011920063				pínɡjūnzhí	
平均速率	平均速率	1011920064				pínɡjūn sùlǜ	
平均數	平均数	1011920065				pínɡjūnshù	
平抑		1011920067				pínɡyì	
平步青雲	平步青云	1011920068				pínɡbù-qīnɡyún	
平身	平身	1011920071				pínɡshēn	
平局		1011920073				pínɡjú	
平定		1011920075				pínɡdìnɡ	
平底	平底	1011920077				pínɡdǐ	
平放		1011920080				pínɡfànɡ	
平坦		1011920081				pínɡtǎn	
平直		1011920083				pínɡzhí	
平板	平板	1011920085				pínɡbǎn	
平板三輪車	平板三轮车	1011920087		★		pínɡbǎn sānlúnchē	
平板車	平板车	1011920088				pínɡbǎnchē	
平板電視	平板电视	1011920089				pínɡbǎn diànshì	
平板電腦	平板电脑	1011920090				pínɡbǎn diànnǎo	
平臥莖	平卧茎	1011920092				pínɡwòjīnɡ	
平明		1011920093				pínɡmínɡ	
平易		1011920094				pínɡyì	
平易近人	平易近人	1011920095				pínɡyì-jìnrén	
平和		1011920096				pínɡhé	
平兒	平儿	1011920097				pínɡr	
平房	平房	1011920099				pínɡfánɡ	
平流層	平流层	1011920102				pínɡliúcénɡ	
平津館叢書	平津馆丛书	1011920103				pínɡjīnɡuǎn cónɡshū	
平叛	平叛	1011920104				pínɡpàn	
平型關	平型关	1011920105				pínɡxínɡɡuān	
平面		1011920106				pínɡmiàn	
平面媒體	平面媒体	1011920107				pínɡmiàn méitǐ	
平面幾何	平面几何	1011920108				pínɡmiàn jǐhé	
平面圖	平面图	1011920109				pínɡmiàntú	
平面鏡	平面镜	1011920111				pínɡmiànjìnɡ	
平信		1011920112				pínɡxìn	
平素		1011920114				pínɡsù	
平埔族	平埔族	1011920115				pínɡpǔzú	
平起平坐	平起平坐	1011920116				pínɡqǐ-pínɡzuò	
平原		1011920117				pínɡyuán	
平原君		1011920118				pínɡyuánjūn	
平時	平时	1011920119				pínɡshí	
平息	平息	1011920121				pínɡxí	pínɡxī
平紋	平纹	1011920125				pínɡwén	
平淡	平淡	1011920126				pínɡdàn	
平淡無奇	平淡无奇	1011920127				pínɡdàn-wúqí	
平添		1011920128				pínɡtiān	
平章		1011920129	1			pínɡzhānɡ	
平章		1011920129	2			biànzhānɡ	piánzhānɡ
平產	平产	1011920130				pínɡchǎn	
平庸	平庸	1011920131				pínɡyōnɡ	
平常		1011920133				pínɡchánɡ	
平假名		1011920137				pínɡjiǎmínɡ	
平魚	平鱼	1011920138		★		pínɡyú	
平視	平视	1011920139				pínɡshì	
平等	平等	1011920140				pínɡděnɡ	
平等互惠	平等互惠	1011920142				pínɡděnɡ-hùhuì	
平郵	平邮	1011920144				pínɡyóu	
平順	平顺	1011920145				pínɡshùn	
平復	平复	1011920146				pínɡfù	
平復帖	平复帖	1011920147				pínɡfùtiě	pínɡfùtiè
平陽公主	平阳公主	1011920149				pínɡyánɡ ɡōnɡzhǔ	
平滑	平滑	1011920150				pínɡhuá	
平滑肌	平滑肌	1011920151				pínɡhuájī	
平準	平准	1011920152				pínɡzhǔn	
平話	平话	1011920153				pínɡhuà	
平塘天坑群	平塘天坑群	1011920154				pínɡtánɡ tiānkēnɡqún	
平亂	平乱	1011920156				pínɡluàn	
平裝	平装	1011920157				pínɡzhuānɡ	
平裝書	平装书	1011920159				pínɡzhuānɡshū	
平實	平实	1011920160				pínɡshí	
平臺	平台	1011920161				pínɡtái	
平臺紀略	平台纪略	1011920162				pínɡtái jìlüè	
平臺掃描器	平台扫描器	1011920163				pínɡtái sǎomiáoqì	
平遙古城	平遥古城	1011920164				pínɡyáo ɡǔchénɡ	
平劇	平剧	1011920167				pínɡjù	
平鋪直敘	平铺直叙	1011920169				pínɡpū-zhíxù	
平銷	平销	1011920170		★		pínɡxiāo	
平輩	平辈	1011920171				pínɡbèi	
平價	平价	1011920172				pínɡjià	
平緩	平缓	1011920173				pínɡhuǎn	
平靜	平静	1011920174				pínɡjìnɡ	
平頭	平头	1011920175				pínɡtóu	
平整		1011920178				pínɡzhěnɡ	
平衡		1011920179				pínɡhénɡ	
平衡木		1011920180				pínɡhénɡmù	
平衡報導	平衡报道	1011920181		▲		pínɡhénɡ bàodǎo	pínɡhénɡ bàodào
平聲	平声	1011920184				pínɡshēnɡ	
平疇	平畴	1011920185				pínɡchóu	
平穩	平稳	1011920186				pínɡwěn	
平議	平议	1011920187				pínɡyì	
平爐	平炉	1011920188				pínɡlú	
并		1011930000	1			bìnɡ	
并		1011930000	2			bīnɡ	
并力		1011930001				bìnɡlì	
并日而食	并日而食	1011930002				bìnɡrì’érshí	
并州	并州	1011930003				bīnɡzhōu	
年		1011940000				nián	
年三十		1011940001				niánsānshí	
年下		1011940002				niánxià	niánxiɑ
年久失修	年久失修	1011940003				niánjiǔ-shīxiū	
年比	年比	1011940004		★		niánbǐ	
年月		1011940008				niányuè	
年少		1011940009				niánshào	
年少氣盛	年少气盛	1011940010				niánshào-qìshènɡ	
年少得志	年少得志	1011940011				niánshào-dézhì	
年刊		1011940013				niánkān	
年兄		1011940016				niánxiōnɡ	
年代		1011940017				niándài	
年幼		1011940018				niányòu	
年幼無知	年幼无知	1011940019				niányòu-wúzhī	
年老	年老	1011940021				niánlǎo	
年成		1011940023				niánchenɡ	
年休假		1011940028		★		niánxiūjià	
年希堯	年希尧	1011940032				niánxīyáo	
年利		1011940033				niánlì	
年尾		1011940035				niánwěi	
年初		1011940036				niánchū	
年夜		1011940037				niányè	
年夜飯	年夜饭	1011940038				niányèfàn	
年底	年底	1011940039				niándǐ	
年青	年青	1011940041				niánqīnɡ	
年表		1011940042				niánbiǎo	
年來	年来	1011940043				niánlái	
年事		1011940044				niánshì	
年長	年长	1011940045				niánzhǎnɡ	
年金		1011940046		▲		niánjīn	
年度		1011940048				niándù	
年度人物	年度人物	1011940049				niándù rénwù	
年度漢字	年度汉字	1011940051				niándù hànzì	
年紀	年纪	1011940053				niánjì	
年限		1011940054				niánxiàn	
年高德劭	年高德劭	1011940055				niánɡāo-déshào	
年息	年息	1011940056				niánxí	niánxī
年級	年级	1011940058				niánjí	
年深日久	年深日久	1011940059				niánshēn-rìjiǔ	
年深月久	年深月久	1011940060				niánshēn-yuèjiǔ	
年產值	年产值	1011940062				niánchǎnzhí	
年貨	年货	1011940064				niánhuò	
年假		1011940065				niánjià	
年終	年终	1011940066				niánzhōnɡ	
年終獎金	年终奖金	1011940067				niánzhōnɡ jiǎnɡjīn	
年富力強	年富力强	1011940068				niánfù-lìqiánɡ	
年報	年报	1011940069				niánbào	
年華	年华	1011940070				niánhuá	
年菜	年菜	1011940071				niáncài	
年景		1011940072				niánjǐnɡ	
年飯	年饭	1011940074				niánfàn	
年復一年	年复一年	1011940075				niánfùyìnián	niánfùyīnián
年畫	年画	1011940076				niánhuà	
年費	年费	1011940077				niánfèi	
年資	年资	1011940079				niánzī	
年歲	年岁	1011940080				niánsuì	
年號	年号	1011940081				niánhào	
年會	年会	1011940082				niánhuì	
年節	年节	1011940083				niánjié	
年輕	年轻	1011940084				niánqīnɡ	
年輕力壯	年轻力壮	1011940086				niánqīnɡ-lìzhuànɡ	
年輕氣盛	年轻气盛	1011940089				niánqīnɡ-qìshènɡ	
年輕貌美	年轻貌美	1011940090				niánqīnɡ-màoměi	
年審	年审	1011940092		★		niánshěn	
年誼	年谊	1011940093				niányì	
年增率		1011940095				niánzēnɡlǜ	
年輪	年轮	1011940096				niánlún	
年糕	年糕	1011940098				niánɡāo	
年曆	年历	1011940100				niánlì	
年薪	年薪	1011940103				niánxīn	
年邁	年迈	1011940104				niánmài	
年禮	年礼	1011940105				niánlǐ	
年譜	年谱	1011940106				niánpǔ	
年羹堯	年羹尧	1011940107				niánɡēnɡyáo	
年關	年关	1011940108				niánɡuān	
年齡	年龄	1011940110				niánlínɡ	
年齡段	年龄段	1011940111		★		niánlínɡduàn	
年齡層	年龄层	1011940112				niánlínɡcénɡ	
年鑒	年鉴	1011940113				niánjiàn	
年鑑	年鉴	1011940114				niánjiàn	
幸		1011950000				xìnɡ	
幸臣		1011950001				xìnɡchén	
幸而		1011950002				xìnɡ’ér	
幸存		1011950003				xìnɡcún	
幸好	幸好	1011950005				xìnɡhǎo	
幸免		1011950006				xìnɡmiǎn	
幸災樂禍	幸灾乐祸	1011950007				xìnɡzāi-lèhuò	
幸事		1011950008				xìnɡshì	
幸進	幸进	1011950011				xìnɡjìn	
幸運	幸运	1011950012				xìnɡyùn	
幸會	幸会	1011950014				xìnɡhuì	
幸福		1011950015				xìnɡfú	
幸福學	幸福学	1011950016				xìnɡfúxué	
幸虧	幸亏	1011950017				xìnɡkuī	
幹	干	1011960000	1			ɡàn	
幹		1011960000	2			hán	
幹才	干才	1011960001				ɡàncái	
幹休所	干休所	1011960006		★		ɡànxiūsuǒ	
幹事	干事	1011960007	1			ɡànshì	
幹事	干事	1011960007	2			ɡànshì	ɡànshi
幹流	干流	1011960009				ɡànliú	
幹活	干活	1011960010				ɡànhuó	
幹活兒	干活儿	1011960011				ɡànhuór	
幹勁	干劲	1011960012				ɡànjìnɡ	ɡànjìn
幹員	干员	1011960018				ɡànyuán	
幹部	干部	1011960019				ɡànbù	
幹掉	干掉	1011960021				ɡàndiào	
幹將	干将	1011960024				ɡànjiànɡ	
幹細胞	干细胞	1011960025				ɡànxìbāo	
幹渠	干渠	1011960026				ɡànqú	
幹道	干道	1011960027				ɡàndào	
幹嗎	干吗	1011960028				ɡànmá	
幹群	干群	1011960029		★		ɡànqún	
幹麼	干吗	1011960030				ɡànmá	
幹嘛	干吗	1011960031				ɡànmá	
幹練	干练	1011960033				ɡànliàn	
幹線	干线	1011960034				ɡànxiàn	
幹警	干警	1011960036		★		ɡànjǐnɡ	
幻		1011970000				huàn	
幻化	幻化	1011970001				huànhuà	
幻術	幻术	1011970002				huànshù	
幻景		1011970004				huànjǐnɡ	
幻象	幻象	1011970005				huànxiànɡ	
幻滅	幻灭	1011970006				huànmiè	
幻想	幻想	1011970007				huànxiǎnɡ	
幻想曲	幻想曲	1011970008				huànxiǎnɡqǔ	
幻境		1011970009				huànjìnɡ	
幻夢	幻梦	1011970010				huànmènɡ	
幻影		1011970011				huànyǐnɡ	
幻燈	幻灯	1011970012				huàndēnɡ	
幻燈片	幻灯片	1011970013				huàndēnɡpiàn	
幻覺	幻觉	1011970015				huànjué	
幻聽	幻听	1011970016				huàntīnɡ	
幼		1011980000				yòu	
幼小		1011980001				yòuxiǎo	
幼幼班	幼幼班	1011980004		▲		yòuyòubān	
幼艾	幼艾	1011980005				yòu’ài	
幼年		1011980006				yòunián	
幼兒	幼儿	1011980010				yòu’ér	
幼兒教育	幼儿教育	1011980011				yòu’ér jiàoyù	
幼兒園	幼儿园	1011980012				yòu’éryuán	
幼苗	幼苗	1011980013				yòumiáo	
幼教	幼教	1011980019				yòujiào	
幼童		1011980020				yòutónɡ	
幼稚		1011980021				yòuzhì	
幼稚教育	幼稚教育	1011980024		▲		yòuzhì jiàoyù	
幼稚園	幼稚园	1011980025				yòuzhìyuán	
幼齒	幼齿	1011980026		▲		yòuchǐ	
幼學	幼学	1011980027				yòuxué	
幼學瓊林	幼学琼林	1011980028				yòuxué qiónɡlín	
幼輿丘壑圖	幼舆丘壑图	1011980029				yòuyú qiūhuò tú	yòuyú qiūhè tú
幼蟲	幼虫	1011980030				yòuchónɡ	
幽		1011990000				yōu	
幽人		1011990001				yōurén	
幽宅		1011990003				yōuzhái	
幽竹枯槎圖	幽竹枯槎图	1011990004				yōuzhú kūchá tú	
幽谷		1011990005				yōuɡǔ	
幽谷圖	幽谷图	1011990006				yōuɡǔtú	
幽門	幽门	1011990008				yōumén	
幽明		1011990009				yōumínɡ	
幽明永隔		1011990010				yōumínɡ-yǒnɡɡé	
幽居		1011990011				yōujū	
幽阻		1011990012				yōuzǔ	
幽客		1011990013				yōukè	
幽美	幽美	1011990014				yōuměi	
幽思	幽思	1011990015				yōusī	
幽咽		1011990016				yōuyè	
幽香	幽香	1011990018				yōuxiānɡ	
幽怨	幽怨	1011990019				yōuyuàn	
幽浮		1011990020		▲		yōufú	
幽冥		1011990021				yōumínɡ	
幽深	幽深	1011990023				yōushēn	
幽情	幽情	1011990025				yōuqínɡ	
幽閉	幽闭	1011990026				yōubì	
幽通賦	幽通赋	1011990027				yōutōnɡfù	
幽婚	幽婚	1011990028				yōuhūn	
幽雅		1011990029				yōuyǎ	
幽閑貞靜	幽闲贞静	1011990030				yōuxián-zhēnjìnɡ	
幽禁	幽禁	1011990032				yōujìn	
幽暗		1011990033				yōu’àn	
幽會	幽会	1011990034				yōuhuì	
幽魂	幽魂	1011990036				yōuhún	
幽遠	幽远	1011990037				yōuyuǎn	
幽憤	幽愤	1011990038				yōufèn	
幽篁秀石圖	幽篁秀石图	1011990042				yōuhuánɡ xiùshí tú	
幽篁戴勝圖	幽篁戴胜图	1011990043				yōuhuánɡ dàishènɡ tú	
幽靜	幽静	1011990045				yōujìnɡ	
幽默	幽默	1011990046				yōumò	
幽默感	幽默感	1011990047				yōumòɡǎn	
幽蘭	幽兰	1011990049				yōulán	
幽靈	幽灵	1011990050				yōulínɡ	
幽靈人口	幽灵人口	1011990051		▲		yōulínɡ rénkǒu	
幾	几	1012000000	1			jǐ	
幾	几	1012000000	2			jī	
幾乎	几乎	1012000002				jīhū	
幾多	几多	1012000005				jǐduō	
幾何	几何	1012000007				jǐhé	
幾何平均	几何平均	1012000008				jǐhé pínɡjūn	
幾何平均值	几何平均值	1012000009				jǐhé pínɡjūnzhí	
幾何平均數	几何平均数	1012000010				jǐhé pínɡjūnshù	
幾何級數	几何级数	1012000011				jǐhé jíshù	
幾何圖形	几何图形	1012000013				jǐhé túxínɡ	
幾何學	几何学	1012000014				jǐhéxué	
幾何體	几何体	1012000015				jǐhétǐ	
幾兒	几儿	1012000016		★		jiěr	jǐr
幾時	几时	1012000021				jǐshí	
幾許	几许	1012000022				jǐxǔ	
幾率	几率	1012000023		★		jīlǜ	
幾曾	几曾	1012000024				jǐcénɡ	
幾經	几经	1012000026				jǐjīnɡ	
序		1012010000				xù	
序文		1012010001				xùwén	
序次	序次	1012010003				xùcì	
序列		1012010004				xùliè	
序曲		1012010005				xùqǔ	
序言		1012010006				xùyán	
序卦		1012010007				xùɡuà	
序跋	序跋	1012010008				xùbá	
序號	序号	1012010009				xùhào	
序幕	序幕	1012010010				xùmù	
序論	序论	1012010011				xùlùn	
序齒	序齿	1012010012				xùchǐ	
序數	序数	1012010013				xùshù	
庇	庇	1012020000				bì	
庇佑	庇佑	1012020001				bìyòu	
庇蔭	庇荫	1012020002				bìyìn	
庇護	庇护	1012020003				bìhù	
庇護所	庇护所	1012020004				bìhùsuǒ	
庇護權	庇护权	1012020005				bìhùquán	
床		1012030000				chuánɡ	
床子		1012030001				chuánɡzi	
床公		1012030002				chuánɡɡōnɡ	
床母		1012030003				chuánɡmǔ	
床位		1012030004				chuánɡwèi	
床沿	床沿	1012030005				chuánɡyán	
床板	床板	1012030006				chuánɡbǎn	
床品		1012030007		★		chuánɡpǐn	
床婆	床婆	1012030010				chuánɡpó	
床笫		1012030013				chuánɡzǐ	
床單	床单	1012030014				chuánɡdān	
床罩		1012030016				chuánɡzhào	
床墊	床垫	1012030017				chuánɡdiàn	
床榻	床榻	1012030018				chuánɡtà	
床模	床模	1012030020		★		chuánɡmó	
床鋪	床铺	1012030022				chuánɡpù	
床頭	床头	1012030024				chuánɡtóu	
床頭金盡	床头金尽	1012030026				chuánɡtóu-jīnjìn	
床頭櫃	床头柜	1012030027				chuánɡtóuɡuì	
庚		1012040000				ɡēnɡ	
庚子消夏記	庚子消夏记	1012040001				ɡēnɡzǐ xiāoxià jì	
庚帖		1012040003				ɡēnɡtiě	
庚桑子	庚桑子	1012040004				ɡēnɡsānɡzǐ	
店		1012050000				diàn	
店小二		1012050001				diànxiǎo’èr	
店主		1012050002				diànzhǔ	
店名		1012050003				diànmínɡ	
店東	店东	1012050005				diàndōnɡ	
店招		1012050006				diànzhāo	
店長	店长	1012050007				diànzhǎnɡ	
店面		1012050008				diànmiàn	
店家		1012050009				diànjiā	
店員	店员	1012050010				diànyuán	
店堂		1012050013				diàntánɡ	
店鋪	店铺	1012050017				diànpù	
店頭	店头	1012050018				diàntóu	
店頭市場	店头市场	1012050019		▲		diàntóu shìchǎnɡ	
府		1012060000				fǔ	
府上		1012060001				fǔshànɡ	
府邸	府邸	1012060003				fǔdǐ	
府第		1012060006				fǔdì	
府綢	府绸	1012060007				fǔchóu	
底	底	1012070000	1			dǐ	
底	底	1012070000	2			de	
底下	底下	1012070001				dǐxià	
底下人	底下人	1012070002				dǐxiɑrén	
底工	底工	1012070003				dǐɡōnɡ	
底子	底子	1012070004				dǐzi	
底火	底火	1012070005				dǐhuǒ	
底片	底片	1012070007				dǐpiàn	
底功	底功	1012070009				dǐɡōnɡ	
底本	底本	1012070010				dǐběn	
底冊	底册	1012070011				dǐcè	
底色	底色	1012070012				dǐsè	
底材		1012070013				dǐcái	
底定	底定	1012070015				dǐdìnɡ	
底物	底物	1012070016		★		dǐwù	
底版	底版	1012070017				dǐbǎn	
底肥	底肥	1012070018				dǐféi	
底案	底案	1012070021				dǐ’àn	
底衿	底衿	1012070022				dǐjīn	
底座	底座	1012070023				dǐzuò	
底氣	底气	1012070024		★		dǐqì	
底部	底部	1012070025				dǐbù	
底商	底商	1012070026		★		dǐshānɡ	
底細	底细	1012070027				dǐxì	
底牌	底牌	1012070029				dǐpái	
底裡	底里	1012070031				dǐlǐ	
底標	底标	1012070037		▲		dǐbiāo	
底碼	底码	1012070038				dǐmǎ	
底數	底数	1012070039				dǐshù	
底稿	底稿	1012070040				dǐɡǎo	
底價	底价	1012070041				dǐjià	
底盤	底盘	1012070042				dǐpán	
底盤功率	底盘功率	1012070043				dǐpán ɡōnɡlǜ	
底盤測功機	底盘测功机	1012070044				dǐpán cèɡōnɡjī	
底層	底层	1012070045				dǐcénɡ	
底線	底线	1012070046				dǐxiàn	
底薪	底薪	1012070050				dǐxīn	
底襟	底襟	1012070051				dǐjīn	
底蘊	底蕴	1012070053				dǐyùn	
庖		1012080000				páo	
庖丁解牛	庖丁解牛	1012080001				páodīnɡ-jiěniú	
庖犧	庖牺	1012080002				páoxī	
庖犧氏	庖牺氏	1012080003				páoxīshì	
庠		1012090000				xiánɡ	
庠生		1012090001				xiánɡshēnɡ	
庠序		1012090002				xiánɡxù	
度		1012100000	1			dù	
度		1012100000	2			duò	duó
度小月		1012100001				dùxiǎoyuè	
度日		1012100003				dùrì	
度日如年	度日如年	1012100004				dùrì-rúnián	
度日如歲	度日如岁	1012100005				dùrì-rúsuì	
度母		1012100007				dùmǔ	
度曲須知	度曲须知	1012100009				dùqǔ xūzhī	
度長絜大	度长絜大	1012100010				duòchánɡ-xiédà	duóchánɡ-xiédà
度命		1012100011				dùmìnɡ	
度假		1012100014				dùjià	
度假村		1012100015				dùjiàcūn	
度假勝地	度假胜地	1012100016				dùjià shènɡdì	
度晬		1012100017		▲		dùzuì	
度量		1012100018				dùliànɡ	
度量衡		1012100019				dù-liànɡ-hénɡ	
度牒	度牒	1012100021				dùdié	
度數	度数	1012100023				dùshù	
度德量力	度德量力	1012100024				duòdé-liànɡlì	duódé-liànɡlì
庫	库	1012110000				kù	
庫木吐喇千佛洞	库木吐喇千佛洞	1012110001				kùmùtǔlā qiānfódònɡ	
庫存	库存	1012110002				kùcún	
庫券	库券	1012110003				kùquàn	
庫侖	库仑	1012110004				kùlún	
庫房	库房	1012110005				kùfánɡ	
庫姆塔格沙漠	库姆塔格沙漠	1012110006				kùmǔtǎɡé shāmò	
庫容	库容	1012110007				kùrónɡ	
庫傉官	库傉官	1012110011				kùnùɡuān	
庫藏	库藏	1012110014	1			kùcánɡ	
庫藏	库藏	1012110014	2			kùzànɡ	
庭		1012120000				tínɡ	
庭訊	庭讯	1012120002				tínɡxùn	
庭訓	庭训	1012120003				tínɡxùn	
庭院		1012120004				tínɡyuàn	
庭除	庭除	1012120005				tínɡchú	
庭園	庭园	1012120006				tínɡyuán	
庭審	庭审	1012120007				tínɡshěn	
庭闈	庭闱	1012120008				tínɡwéi	
庭辯	庭辩	1012120009				tínɡbiàn	
座		1012130000				zuò	
座上客		1012130001				zuòshànɡkè	
座上賓	座上宾	1012130002				zuòshànɡbīn	
座子		1012130003				zuòzi	
座主		1012130004				zuòzhǔ	
座右		1012130005				zuòyòu	
座右銘	座右铭	1012130006				zuòyòumínɡ	
座充	座充	1012130007				zuòchōnɡ	
座車	座车	1012130010				zuòchē	
座位		1012130011				zuòwèi	
座便器	座便器	1012130012				zuòbiànqì	
座師	座师	1012130014				zuòshī	
座椅		1012130015				zuòyǐ	
座無空席	座无空席	1012130016				zuòwúkōnɡxí	
座無虛席	座无虚席	1012130017				zuòwúxūxí	
座落	坐落	1012130018				zuòluò	
座號	座号	1012130019				zuòhào	
